,AuthenticateCount,ActiveCount,DisconnectCount,CPUUtil,MemoryUsed,MemoryFree,TempMin,TempMax,TempAvg,InBandwidth,OutBandwidth,InTotalPPS,OutTotalPPS
count,12385,12385,12385,12385,12385,12385,12385,12385,12385,12385,12385,12385,12385
mean,1.429309649,3226.392249,0.649172386,26.71780379,433324608.2,438226006.9,26.84343964,49.06895438,39.72558817,147037385.6,145643412,170958.3109,168756.8962
std,7.155087774,1010.423023,0.919773366,6.794918993,39843765.73,58219533.33,1.733761628,2.295180762,1.577521071,80944080.53,80338743.5,94143.72979,93306.41603
min,0,1646,0,7,310032000,280964000,0,45,35.14285714,0,0,0,0
25%,0,2298,0,22,394372000,407900000,26,47,38.33333333,73081599.52,72532769.81,83880.03436,82388.74027
50%,1,3071,0,25,434268000,443640000,26,48,39.16666667,150224689.7,148153456.5,173889.8581,170680.5916
75%,2,3923,1,31,464832000,491108000,26,51,41.16666667,212951827.7,211782912.6,246522.0333,244046.5887
max,551,5450,11,97,523148000,578320000,42,66,57.66666667,341378560.2,338059205.7,524028.6201,521908.3579
